Deutsch;Portugiesisch
die Bettdecke;o cobertor
die Mittelohrentzündung (wörtl. Infektion des Gehörs);a infecção de ouvido
die Tablette;o comprimido
die Halsschmerzen (Einzahl);a dor de garganta
Du musst einen Arzt aufsuchen.;Você tem que procurar um médico.
ein Medikament einnehmen;tomar um remédio
Deine Stirn ist superheiß!;Sua testa está quentíssima!
die Erkältung;o resfriado
die Gesundheit;a saúde
die Sicherheitsleute;os seguranças
die Tournee;a turnê
Vergiss die Eintrittskarten nicht.;Não esqueça os ingressos.
die Musiker;os músicos
Sieh (mal), die Beleuchtung!;Veja a iluminação!
Ach Papa, übertreib nicht.;Ah pai, não exagere.
Schau mal diese Platte, Flávia.;Olhe esse disco, Flávia.
Du hast eine riesige (wörtl. enorme) Sammlung.;Você tem uma coleção enorme.
die Melodie;a melodia
im Radio spielen;tocar no rádio
die Songtexte (wörtl. Buchstaben);as letras
der Plattenspieler;o toca-discos
die wichtigen Papiere/Unterlagen;os papéis importantes
die Dokumente neu beantragen;requerer segunda via dos documentos
ein Terminkalender mit blauen Sternen;uma agenda com estrelas azuis
Sie hat ein Portemonnaie mit Herzen (drauf).;Ela tem uma carteira com corações.
zwei Lippenstifte;dois batons
Lass mich die Visitenkarte sehen.;Deixa eu ver o cartão de visita.
Es sind spanische Briefmarken!;São selos espanhóis!
der Personalausweis;a carteira de identidade
die (Geld)scheine;as notas
der Geldautomat (wörtl. die elektronische Kasse);o caixa eletrônico
Der Geldautomat ist kaputt.;O caixa eletrônico está quebrado.
der Betrag;o montante
die Bankfiliale;a agência bancária
Ich würde es versuchen, es ist die beste Option.;Eu tentaria isso, é a melhor opção.
schlimm;grave
verärgert (m.);irritado
Ich würde Blumen und eine Karte schicken.;Eu mandaria flores e um cartão.
harmlos (wörtl. unschuldig);inocente
traurig;triste
seelisch verletzt (männl.);chateado
Wir verstehen uns gut.;A gente se dá bem.
Er fühlt sich betrogen.;Ele se sente traído.
eifersüchtig (wörtl. mit Eifersucht);com ciúme
glücklich;feliz
günstig, billig;barato
Gab es keine Nummer größer?;Não tinha um número maior?
eng;apertado
Sie werden perfekt (wörtl. richtig) passen.;Eles vão caber direitinho!
spitze, toll (wörtl. zu viel);demais
in Mode;na moda
Wollen Sie nicht auch einen Blazer ansehen?;Você não quer ver um blazer também?
grün;verde
braun;marrom
der Rock;a saia
die Bluse;a blusa
die Krawatte;a gravata
Haben Sie diese Hose in Schwarz?;Você tem essa calça em preto?
rot;vermelho
grau;cinza
blau;azul
schwarz;preto
gelb;amarelo
weiß;branco
Ich bin gestern dorthin gegangen.;Eu fui lá ontem.
göttlich (m.);divino
Die Stimmung ist angenehmer.;O ambiente é mais agradável.
Das neue Restaurant ist billiger (wörtl. weniger teuer).;O restaurante novo é menos caro.
aufmerksam (m.);atencioso
frisch (m.);fresco
Sie sollen nie fettes Essen essen.;A senhora não deve nunca comer comida gordurosa.
Darf ich nie mehr drei Eier zu Mittag essen?;Não posso comer três ovos no almoço nunca mais?
Diät machen;fazer dieta
Sie dürfen kein Fett mehr essen.;A senhora não pode mais comer gordura.
niemand;não ... ninguém
nichts;não ... nada
nie;não ... nunca
Vegetarier sein;ser vegetariano
nicht mehr;não ... mais
die Ernährung ändern;mudar a alimentação
nie mehr;não ... nunca mais
Hast du aufgehört (wörtl. aufgegeben), Ballett zu machen?;Desistiu de fazer balé?
Klavier spielen;tocar piano
Fußball spielen;jogar futebol
der Klavierunterricht;a aula de piano
