Deutsch;Portugiesisch
neunhundert;novecentos
vierhundert;quatrocentos
ein Kilo Mehl;um quilo de farinha
ein Dutzend Eier;uma dúzia de ovos
ein Liter Milch;um litro de leite
Wir werden einen Kuchen zur Party mitbringen.;Nós vamos levar um bolo pra festa.
das Kakaopulver (wörtl. die Schokolade in Pulver);o chocolate em pó
Es regnet.;Está chovendo.
das Doppelzimmer;o quarto duplo
Es ist kalt.;Está frio.
Es ist windig.;Está ventando.
das Einzelzimmer;o quarto simples
Wie ist das Wetter?;Como está o tempo?
Es ist sonnig (wörtl. Sonne).;Está sol.
die Halbpension;a meia pensão
Es ist warm.;Está calor.
die Vollpension;a pensão completa
Das Wetter ist schlecht.;O tempo está ruim.
andere Städte besuchen;visitar outras cidades
spazieren gehen, wandern;caminhar
Wohin gehst du gewöhnlich in den Ferien?;Para onde você costuma ir nas férias?
andere Strände kennenlernen;conhecer outras praias
Der Strand dort ist sehr schön!;A praia lá é muito bonita!
schwimmen;nadar
Es ist so entspannend!;É tão relaxante!
campen, zelten;acampar
surfen;surfar
rechts;à direita
bis;até
nah bei;perto de
der Busbahnhof;a rodoviária
an der Ecke;na esquina
der Fahrschein;o bilhete
vor;em frente a
der Schalter;o guichê
neben;do lado de
links;à esquerda
das Schwimmbad;a piscina
Wie ist Rio?;Como é o Rio?
die Disko;a boate
der Strand;a praia
der Laden;a loja
die Lehrerin;a professora
der Sekretär;o secretário
Machst du keinen Sport?;Você não faz esporte?
am Morgen;de manhã
einen Imbiss essen;lanchar
zu Mittag essen;almoçar
am Abend/in der Nacht;à noite
zu Abend essen;jantar
Ich frühstücke (wörtl. nehme Kaffee).;Eu tomo café.
Wie ist dein Tag?;Como é o seu dia?
aufwachen;acordar
am Nachmittag;à tarde
Ist die Melone süß?;O melão está doce?
Ich bin allergisch gegen Garnelen.;Eu sou alérgica a camarão.
Das Lachsfilet ist köstlich (wörtl. eine Köstlichkeit).;O filé de salmão está uma delícia.
Das Gericht ist sehr salzig.;O prato está muito salgado.
Mit Eis und Zucker?;Com gelo e açúcar?
Was ist das Hauptgericht?;Qual é o prato principal?
Wir haben keine Reservierung.;Nós não temos uma reserva.
Gibt es Optionen für Vegetarier?;Tem opções para vegetarianos?
Die Nachtische von hier sind berühmt.;As sobremesas daqui são famosas.
Willst du nicht eine Vorspeise bestellen?;Você não vai pedir uma entrada?
Wir werden die Getränke holen.;Nós vamos buscar as bebidas.
sechzig;sessenta
vierzig;quarenta
neunzig;noventa
achtzig;oitenta
